STNCode|Name of Monitoring Location|State_Name|Temperature_Min|Temperature_Max|pH_Min|pH_Max|Conductivity_Min(μmhos/cm)|Conductivity_Max(μmhos/cm)|BOD_Min (mg/L)|BOD_Max (mg/L)|Nitrate N_Min (mg/L)|Nitrate N_Max (mg/L)|Faecal Coliform_Min (MPN/100ml)|Faecal Coliform_Max (MPN/100ml)|Total Coliform_Min (MPN/100ml)|Total Coliform_Max (MPN/100ml)|Total Dissolved Solids_Min (mg/L)|Total Dissolved Solids_Max (mg/L)|Fluoride_Min(mg/L)|Fluoride_Max(mg/L)|Arsenic_Min (mg/L)|Arsenic_Max (mg/L)
1537|GROUND WATER AT (JORHAT, ASSAM)|ASSAM|25|26|7|7.2|276|278|2.3|2.3|0.7|0.8|2|2|2|2|156|224|0.3|0.3|0.01|0.01
1539|GROUND WATER AT BARPETA, ASSAM|ASSAM|30|31|7.4|7.5|304|329|2|2.1|0.8|0.8|2|2|2|2|172|180|0.3|0.3|0.01|0.01
1540|GROUND WATER AT BONAIGAON, ASSAM|ASSAM|27|29|7.2|7.6|366|390|2|2.6|0.7|1|2|2|2|2|202|218|0.3|0.3|0.01|0.01
1533|GROUND WATER AT DIGBOI,TINSUKIA DISTT., ASSAM|ASSAM|24|26|6.8|7.1|328|332|2.3|2.5|1.1|1.4|2|2|2|2|184|218|0.2|0.3|0.01|0.01
1534|GROUND WATER AT KARBIANGLONG DISTT., ASSAM|ASSAM|25|25|7.2|7.2|308|308|2.3|2.3|0.8|0.8|-|-|-|-|176|176|0.3|0.3|-|-
1541|GROUND WATER AT NOONMATIGUWAHATI, ASSAM|ASSAM|27|29|7.3|7.6|401|408|2.3|2.5|0.8|1|2|2|2|2|218|224|0.3|0.3|0.01|0.01
1535|GROUND WATER AT SIBSAGAR GOVT ME SCHOOL WARD 6, REDCROSS ROAD , ASSAM|ASSAM|25|26|6.8|7.3|284|288|2.2|2.6|0.7|0.8|2|2|2|2|160|166|0.3|0.3|0.01|0.01
1542|GROUND WATER AT SIJUBARIMAZAR, NATBOMA HATIGAON|ASSAM|27|28|7.8|7.8|352|354|2|2.6|0.8|1|2|2|2|2|194|200|0.3|0.4|0.01|0.01
1538|GROUND WATER AT SILCHAR,ASSAM|ASSAM|23|23|6.8|7.4|196|291|2.1|2.2|0.8|0.9|2|2|2|2|118|166|0.3|0.3|-|-
4328|GROUND WATER BESIDE MSWDUMPING SITE, DHEKIAJULI|ASSAM|26|26|7.7|7.7|315|315|2|2|0.9|0.9|-|-|-|-|178|178|0.3|0.3|-|-
4338|GROUND WATER FORM TENGA PUKHURI KUKURACHOWAWATER SUPPLY TENGA PUKHURI|ASSAM|23|28|6.7|7.8|262|266|1.8|2.2|0.8|1|2|2|2|2|142|150|0.3|0.3|-|-
4335|GROUND WATER FROMAMGURI, AMGURI TOWN|ASSAM|23|25|6.8|8|248|259|2.1|2.3|0.9|1.1|2|2|2|2|140|148|0.3|0.3|0.01|0.01
2254|GROUND WATER FROMBARPETA ROAD(RLY STATION), ASSAM|ASSAM|25|32|7.6|7.6|311|322|2|2.2|0.7|0.9|2|2|2|2|170|180|0.3|0.3|0.01|0.01
3816|GROUND WATER FROMBASISTHA, GUWAHATI|ASSAM|26|28|7.4|7.7|295|351|2|2.1|0.7|1|2|2|2|2|168|198|0.3|0.3|-|-
3761|GROUND WATER FROMBISWANATH CHARIALI TOWN|ASSAM|26|30|7.6|7.8|258|262|2.2|2.3|0.8|0.8|2|2|2|2|148|148|0.3|0.3|0.01|0.01
3813|GROUND WATER FROM BONDA,GUWAHATI|ASSAM|25|29|7.6|8|365|370|2.3|2.3|0.8|0.8|2|2|2|2|202|204|0.3|0.3|0.01|0.01
4333|GROUND WATER FROM DEMOWWATER SUPPLY DEMOW TOWN|ASSAM|22|26|7.3|7.4|235|280|2|2|0.8|0.9|2|2|2|2|136|158|0.3|0.3|0.01|0.01
2257|GROUND WATER FROM DHUBRIDISTRICT (COLLEGE NAGAR ), ASSAM|ASSAM|34|37|7.3|7.4|308|356|2.4|2.6|0.9|1|2|2|2|2|176|196|0.2|0.3|0.01|0.01
